Rank,EIN,Name,City,State,ZIP,Predicted_Category,Composite_Score,Classification_Confidence,Health_Keywords,Nutrition_Keywords,Safety_Keywords,Education_Keywords,Financial_Score,Geographic_Score,Foundation_Score,Activity_Score,Assets,Revenue,Foundation_Code,Activity_Code,Export_Date,Classification_Version
1,540619813,ROMAN EAGLE REHABILITATION AND HEALTH CARE CENTER INC,DANVILLE,VA,24540-2333,health,0.83,0.6,0.6,0.0,0.0,0.0,1.0,1.0,0.8,1.0,55902880.0,31472929.0,16,150000000,2025-08-05 20:15:44,1.0.0
2,540701665,VIRGINIA HOSPITAL AND HEALTHCARE ASSOCIATION,GLEN ALLEN,VA,23060-6772,health,0.8233,0.6667,0.6667,0.0,0.0,0.0,1.0,1.0,0.6,1.0,21119857.0,15920055.0,00,059279000,2025-08-05 20:15:44,1.0.0
3,133103022,EDUCATION AND SCIENCE SOCIETY INC,MCLEAN,VA,22102-3512,education,0.795,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.8,1.0,729069.0,584533.0,15,000000000,2025-08-05 20:15:44,1.0.0
4,363666533,KISSITO HEALTHCARE INC,ROANOKE,VA,24019-5106,health,0.795,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.8,1.0,32931147.0,3477047.0,16,152000000,2025-08-05 20:15:44,1.0.0
5,521309257,VALLEY WELLNESS CENTER INC,VIRGINIA BCH,VA,23464-5884,health,0.795,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.8,1.0,5400036.0,2439912.0,16,179995000,2025-08-05 20:15:44,1.0.0
6,540573801,MARYMOUNT UNIVERSITY,ARLINGTON,VA,22207-4224,education,0.795,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.8,1.0,258014016.0,126877399.0,15,000000000,2025-08-05 20:15:44,1.0.0
7,540634200,DANVILLE CANCER ASSOCIATION,DANVILLE,VA,24541-3435,health,0.795,0.5,0.5,0.0,0.0,0.0,1.0,1.0,0.8,1.0,1435180.0,491271.0,15,161180059,2025-08-05 20:15:44,1.0.0
8,541372716,BOONSBORO VOLUNTEER FIRE & RESCUE COMPANY INC,LYNCHBURG,VA,24503-0024,safety,0.795,0.5,0.0,0.0,0.5,0.0,1.0,1.0,0.8,1.0,1305265.0,359247.0,15,158000000,2025-08-05 20:15:44,1.0.0
9,541451475,WAKEFIELD HIGH SCHOOL EDUCATION FOUNDATION,ARLINGTON,VA,22204-8675,education,0.795,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.8,1.0,1525986.0,506662.0,15,000000000,2025-08-05 20:15:44,1.0.0
10,541541457,NATIONAL EDUCATION FOUNDATION,MCLEAN,VA,22101-3920,education,0.795,0.5,0.0,0.0,0.0,0.5,1.0,1.0,0.8,1.0,65705407.0,17051980.0,16,040000000,2025-08-05 20:15:44,1.0.0
