EIN,Name,State,NTEE_Code,Composite_Score,Revenue,Assets,Most_Recent_Filing_Year,Score_Rank,Financial_Score,Recency_Score,Consistency_Score,Program_Ratio_Score,NTEE_Score,State_Score,PF_Score,Rank
134345808,Diversity International Charities,VA,F30,0.2,0,0,,1,0,0,0,0,0,1,1,1
141909014,Caring Hearts Free Clinic Of Patrick County Inc,VA,E32,0.2,0,0,,2,0,0,0,0,0,1,1,2
202379419,Loudoun Community Health Center,VA,E32,0.2,0,0,,3,0,0,0,0,0,1,1,3
204715344,Ledwith Lewis Free Clinic,VA,E32,0.2,0,0,,4,0,0,0,0,0,1,1,4
204735093,Bay Rivers Telehealth Alliance,VA,E60,0.2,0,0,,5,0,0,0,0,0,1,1,5
204755110,Heartland Health Clinic,VA,E32,0.2,0,0,,6,0,0,0,0,0,1,1,6
205809385,Tangier Island Health Foundation,VA,E32,0.2,0,0,,7,0,0,0,0,0,1,1,7
208708994,Lifestyle Health Education Inc,VA,E32,0.2,0,0,,8,0,0,0,0,0,1,1,8
222701841,The Society Of Breast Imaging,VA,E30,0.2,0,0,,9,0,0,0,0,0,1,1,9
251922019,Orange Free Clinic Inc,VA,E32,0.2,0,0,,10,0,0,0,0,0,1,1,10
260086305,Semper Fi & Americas Fund,VA,E86,0.2,0,0,,11,0,0,0,0,0,1,1,11
260152373,Friendship Outpatient & Wellnessservices Inc,VA,E32,0.2,0,0,,12,0,0,0,0,0,1,1,12
